	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
110	Raku - It's Japanese II	-73.976516	40.779997	57 W 76th St	New York	10023	NY	['57 W 76th St', 'New York, NY 10023']	$$	4.0	304
111	KanaHashi	-73.95482	40.73263	981 Manhattan Ave	Brooklyn	11222	NY	['981 Manhattan Ave', 'Brooklyn, NY 11222']	$$	4.5	89
112	Secchu Yokota	-73.98311	40.72283	199 E 3rd St	New York	10009	NY	['199 E 3rd St', 'Fl 1', 'New York, NY 10009']	$$$$	5.0	94
113	Yakiniku Tohbay	-73.98326	40.76528	253 West 55th St	New York	10019	NY	['253 West 55th St', 'Fl 2', 'New York, NY 10019']		4.5	14
114	Ozu	-73.9932652562857	40.6974732130766	78 Clark St	Brooklyn	11201	NY	['78 Clark St', 'Brooklyn, NY 11201']	$$	4.0	249
115	Izakaya Mew Flushing	-73.82022	40.76536	146-13 Northern Blvd	Flushing	11354	NY	['146-13 Northern Blvd', 'Flushing, NY 11354']	$$	4.0	135
116	Donburiya	-73.98326	40.76528	253 W 55th St	New York	10019	NY	['253 W 55th St', 'New York, NY 10019']	$$	4.0	322
117	Menya Jiro- Brooklyn	-73.98357	40.69505	306 Gold St	Brooklyn	11201	NY	['306 Gold St', 'Ste C2', 'Brooklyn, NY 11201']	$$	4.0	121
118	Akino	-73.8814239	40.7411784	82-80 Broadway	Elmhurst	11373	NY	['82-80 Broadway', 'Elmhurst, NY 11373']	$$	4.5	585
119	Okinii	-73.99911	40.72894	216 Thompson St	New York	10012	NY	['216 Thompson St', 'New York, NY 10012']	$$	4.0	298
120	Sushi Yashin	-73.9847132950057	40.6708328473989	381 5th Ave	Brooklyn	11215	NY	['381 5th Ave', 'Brooklyn, NY 11215']	$$	4.5	180
121	Hi-Collar	-73.9859368048935	40.7293077268171	214 E 10th St	New York	10003	NY	['214 E 10th St', 'New York, NY 10003']	$$	4.0	573
122	Sushi By M	-73.99027	40.72666	75 E 4th St	New York	10003	NY	['75 E 4th St', 'New York, NY 10003']	$$$	4.5	344
123	Shalom Japan	-73.9558028	40.7091679	310 S 4th St	Brooklyn	11211	NY	['310 S 4th St', 'Brooklyn, NY 11211']	$$$	4.0	269
124	EN Japanese Brasserie	-74.00698	40.7306	435 Hudson St	New York	10014	NY	['435 Hudson St', 'New York, NY 10014']	$$$	4.0	1238
125	Tsukimi	-73.98541	40.72908	228 East 10th St	New York	10003	NY	['228 East 10th St', 'New York, NY 10003']		5.0	9
126	Shinsen	-73.9967	40.71558	44 Bowery	New York	10013	NY	['44 Bowery', 'New York, NY 10013']	$$	4.0	187
127	TabeTomo	-73.98311	40.72688	131 Avenue A	New York	10009	NY	['131 Avenue A', 'New York, NY 10009']	$$	4.5	283
128	Goemon	-73.99509	40.72083	29 Kenmare St	New York	10012	NY	['29 Kenmare St', 'New York, NY 10012']	$$	4.0	133
129	Sushi Yasaka	-73.983482	40.779583	251 W 72nd St	New York	10023	NY	['251 W 72nd St', 'New York, NY 10023']	$$	4.0	1717
130	Wanpaku	-73.95092	40.72355	621 Manhattan Ave	Brooklyn	11222	NY	['621 Manhattan Ave', 'Brooklyn, NY 11222']	$$	4.0	71
131	Japan Village	-74.00641	40.65597	934 3rd Ave	Brooklyn	11232	NY	['934 3rd Ave', 'Brooklyn, NY 11232']	$$	3.0	206
132	Kokage	-73.9777215	40.7498614	125 E 39th St	New York	10016	NY	['125 E 39th St', 'New York, NY 10016']	$$$	4.0	88
133	Suzume	-73.9494479	40.7131652	545 Lorimer St	Brooklyn	11211	NY	['545 Lorimer St', 'Brooklyn, NY 11211']	$$	4.0	293
134	Sake kawa	-73.92855	40.7563	32-05 36th Ave	Astoria	11106	NY	['32-05 36th Ave', 'Astoria, NY 11106']	$$	4.5	51
135	Koyo	-73.91838	40.76164	3712 31st Ave	Astoria	11103	NY	['3712 31st Ave', 'Astoria, NY 11103']		5.0	13
136	Method	-73.9912028	40.7650523	746 10th Ave	New York	10019	NY	['746 10th Ave', 'New York, NY 10019']	$$$	4.0	120
137	Murasaki	-73.9532554683031	40.7457764869508	4644 Vernon Blvd	Long Island City	11101	NY	['4644 Vernon Blvd', 'Long Island City, NY 11101']	$$	4.5	190
138	Shabushabu Macoron	-73.99086	40.71909	61 Delancey	New York	10002	NY	['61 Delancey', 'New York, NY 10002']	$$$$	4.5	62
139	Soba Totto	-73.97317	40.75122	211 E 43rd St	New York	10017	NY	['211 E 43rd St', 'New York, NY 10017']	$$	4.0	890
140	Konbini NY	-73.98583	40.74701	312 5th Ave	New York	10001	NY	['312 5th Ave', 'New York, NY 10001']		3.5	30
141	Gen	-73.963485	40.677639	659 Washington Ave	Brooklyn	11238	NY	['659 Washington Ave', 'Brooklyn, NY 11238']	$$	4.0	272
142	Sushi Nakazawa	-74.0045493828034	40.7317465228689	23 Commerce St	New York	10014	NY	['23 Commerce St', 'New York, NY 10014']	$$$$	4.5	1358
143	KazuNori  | The Original Hand Roll Bar	-73.98824	40.74519	15 W 28th St	New York	10001	NY	['15 W 28th St', 'New York, NY 10001']	$$	4.5	869
144	Fishing Restaurant Zauo	-73.99455	40.7444	152 W 24th St	New York	10011	NY	['152 W 24th St', 'New York, NY 10011']		4.0	225
145	nykkei	-73.98655	40.76708	857 9th Ave	New York	10019	NY	['857 9th Ave', 'New York, NY 10019']		4.0	36
146	Sushi Uesugi	-74.0064066279496	40.6560432255486	934 3rd Ave	Brooklyn	11232	NY	['934 3rd Ave', 'Brooklyn, NY 11232']		4.5	23
147	Gohan-ya	-73.9917685836554	40.7150115072727	14A Orchard St	New York	10002	NY	['14A Orchard St', 'New York, NY 10002']	$$$	4.0	45
148	TONCHIN NEW YORK	-73.9844951	40.7502727	13 W 36th St	New York	10018	NY	['13 W 36th St', 'New York, NY 10018']	$$	4.5	1024
149	Ashbox	-73.955158	40.738267	1154 Manhattan Ave	Brooklyn	11222	NY	['1154 Manhattan Ave', 'Brooklyn, NY 11222']	$	4.5	125
150	Longevousjoy	-73.98246	40.61312	6610 Bay Pkwy	Brooklyn	11204	NY	['6610 Bay Pkwy', 'Brooklyn, NY 11204']	$$	3.5	279
151	Takahachi Bakery	-74.00822	40.71393	25 Murray St	New York	10007	NY	['25 Murray St', 'New York, NY 10007']	$$	4.0	886
152	CHOCHIN	-73.947887	40.781805	310 E 93rd St	New York	10128	NY	['310 E 93rd St', 'New York, NY 10128']	$$	4.5	90
153	Brooklyn Ball Factory	-73.9458661779097	40.7072338027948	95 Montrose Ave	Brooklyn	11206	NY	['95 Montrose Ave', 'Brooklyn, NY 11206']	$$	4.5	121
154	1 or 8	-73.965457	40.714257	66 S 2nd St	Brooklyn	11249	NY	['66 S 2nd St', 'Brooklyn, NY 11249']	$$$	4.0	397
155	Takesushi	-73.9224056	40.7441219	43-46 42nd St	Sunnyside	11104	NY	['43-46 42nd St', 'Sunnyside, NY 11104']	$$	4.0	356
156	Ako Sushi	-73.9585858	40.7169049	205 Bedford Ave	Brooklyn	11211	NY	['205 Bedford Ave', 'Brooklyn, NY 11211']	$$	4.0	339
157	Flame	-73.97444	40.78396	100 W 82nd St	New York	10024	NY	['100 W 82nd St', 'New York, NY 10024']	$$	4.0	383
158	Omusubi Gonbei	-73.9769974	40.7508187	120 E 41st St	New York	10017	NY	['120 E 41st St', 'New York, NY 10017']	$$	4.5	44
159	Yamada Chikara NY	-73.96934	40.75465	249 E 49th St	New York	10017	NY	['249 E 49th St', 'New York, NY 10017']	$$$$	4.5	32
160	Nippori	-73.984939	40.7628542	245 W 51st St	New York	10019	NY	['245 W 51st St', 'New York, NY 10019']	$$	4.0	810
161	Bohemian Restaurant	-73.99236	40.72639	57 Great Jones St	New York	10012	NY	['57 Great Jones St', 'New York, NY 10012']	$$$	4.5	746
162	Yakiniku Gen	-73.96815	40.75611	250 E 52nd St	New York	10022	NY	['250 E 52nd St', 'New York, NY 10022']	$$$	4.0	142
163	Marumi	-73.99837	40.7289699	546 Laguardia Pl	New York	10012	NY	['546 Laguardia Pl', 'New York, NY 10012']	$$	4.0	408
