	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
597	#1 Garden Chinese	-73.980313	40.660046	221 Prospect Park W	Brooklyn	11215	NY	['221 Prospect Park W', 'Brooklyn, NY 11215']	$	3.5	57
598	Green Leaf	-73.87957	40.71244	72-60 Metropolitan Ave	Middle Village	11379	NY	['72-60 Metropolitan Ave', 'Middle Village, NY 11379']	$	3.5	41
599	Auntie Guan's Kitchen	-73.98201	40.73852	219 E 23rd St	New York	10011	NY	['219 E 23rd St', 'New York, NY 10011']	$	3.5	131
600	Sum Fung	-73.90649	40.75361	5401 Northern Blvd	Woodside	11377	NY	['5401 Northern Blvd', 'Woodside, NY 11377']	$	3.0	11
601	Bei Jing Chinese Foods	-73.98851	40.768619	860 10th Ave	New York	10019	NY	['860 10th Ave', 'New York, NY 10019']	$	3.5	20
602	RedFarm	-73.980415	40.782051	2170 Broadway	New York	10024	NY	['2170 Broadway', 'New York, NY 10024']	$$$	3.5	595
603	JeJu Noodle Bar	-74.00734	40.73304	679 Greenwich St	New York	10014	NY	['679 Greenwich St', 'New York, NY 10014']	$$	4.5	484
604	Li's Kitchen	-73.8584642	40.8634617	2515 Williamsbridge Rd	Bronx	10469	NY	['2515 Williamsbridge Rd', 'Bronx, NY 10469']	$$	4.0	33
605	Jing Fu House	-73.8700999	40.74928	9549 Roosevelt Ave	Jackson Heights	11372	NY	['9549 Roosevelt Ave', 'Jackson Heights, NY 11372']	$	3.5	10
606	Shun Wang Restaurant	-73.8830413818359	40.7431373596191	81-25 Broadway	Elmhurst	11373	NY	['81-25 Broadway', 'Elmhurst, NY 11373']	$	4.0	158
607	Double Happy	-73.8583450317383	40.6923332214355	8518 Jamaica Ave	Woodhaven	11421	NY	['8518 Jamaica Ave', 'Woodhaven, NY 11421']	$	3.5	16
608	Corgi Jianbing 可吉煎饼	-73.9433018	40.7474918	4405 Hunter St	Long Island City	11101	NY	['4405 Hunter St', 'Long Island City, NY 11101']		5.0	14
609	Ju Feng Chinese Restaurant	-73.94454	40.6156999	2809 Nostrand Ave	Brooklyn	11229	NY	['2809 Nostrand Ave', 'Brooklyn, NY 11229']	$	3.5	12
610	Good Taste Restaurant	-73.9543845	40.8214624	3371 Broadway	New York	10031	NY	['3371 Broadway', 'New York, NY 10031']	$	4.0	52
611	Wong's Kitchen	-73.948287	40.63378	1525 Flatbush Ave	Brooklyn	11210	NY	['1525 Flatbush Ave', 'Brooklyn, NY 11210']	$	4.0	10
612	Green Lake Restaurant	-73.95922	40.65323	795 Flatbush Ave	Brooklyn	11226	NY	['795 Flatbush Ave', 'Brooklyn, NY 11226']	$	3.0	54
613	Bao Bao Cafe	-73.983474	40.740829	61 Lexington Ave	New York	10010	NY	['61 Lexington Ave', 'Unit B', 'New York, NY 10010']	$	4.0	447
614	Lucky Garden	-74.09481	40.64134	143 Lafayette Ave	Staten Island	10301	NY	['143 Lafayette Ave', 'Staten Island, NY 10301']	$$	4.5	6
615	Zongzi lady	-73.9938466	40.7181661	Chrystie St Grand St	New York	10002	NY	['Chrystie St Grand St', 'New York, NY 10002']	$	4.5	21
616	Hak Box	-73.99439	40.714	88 E Broadway	New York	10002	NY	['88 E Broadway', 'Unit 106', 'Located Outside on Forsyth Street', 'New York, NY 10002']		4.5	40
617	Zhen Good Taste	-73.89278	40.72182	5961 69th St	Maspeth	11378	NY	['5961 69th St', 'Maspeth, NY 11378']	$	3.5	30
618	Mei Wei Restaurant	-73.91199	40.6368	765 E 82nd St	Brooklyn	11236	NY	['765 E 82nd St', 'Brooklyn, NY 11236']	$$	4.0	7
619	Ruby Kitchen	-73.9730239659548	40.6775678694248	162 Park Pl	Brooklyn	11217	NY	['162 Park Pl', 'Brooklyn, NY 11217']	$	3.5	30
620	Yeung Hing Restuarant	-73.897977132935	40.8837815547919	3650 Bailey Ave	Bronx	10463	NY	['3650 Bailey Ave', 'Bronx, NY 10463']		4.5	4
621	Pearls	-73.9692167	40.7958833	796 Amsterdam Ave	New York	10025	NY	['796 Amsterdam Ave', 'New York, NY 10025']	$$	3.0	151
622	Duck Wong	-73.9904	40.6002	2341 86th St	Brooklyn	11214	NY	['2341 86th St', 'Brooklyn, NY 11214']	$	4.0	172
623	Chung Ching Restaurant	-73.92476	40.81019	262 Alexander Ave	Bronx	10454	NY	['262 Alexander Ave', 'Bronx, NY 10454']		4.0	9
624	Cheung Hing Kitchen	-73.7543865	40.596772	243 Beach 20th St	New York	11691	NY	['243 Beach 20th St', 'New York, NY 11691']	$	3.5	7
625	Baodega	-73.99178	40.74014	7 W 20th St	New York	10011	NY	['7 W 20th St', 'New York, NY 10011']	$$	3.5	83
626	Hop Won Restaurant	-73.97399	40.75322	139 E 45th St	New York	10017	NY	['139 E 45th St', 'New York, NY 10017']	$	3.0	149
627	Radiance Tea House and Books	-73.98065	40.7639799	158 W 55th St	New York	10019	NY	['158 W 55th St', 'New York, NY 10019']	$$	4.0	843
628	Golden Z	-73.956928	40.598533	1410 Ave U	Brooklyn	11229	NY	['1410 Ave U', 'Brooklyn, NY 11229']	$	4.0	80
