	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
84	HYUN	-73.98444	40.7474	10 E 33rd St	New York	10016	NY	['10 E 33rd St', 'New York, NY 10016']		4.0	87
85	Kimganae	-73.8269221	40.7608325	3912 Union St	Flushing	11354	NY	['3912 Union St', 'Flushing, NY 11354']	$$	4.0	719
86	Tang Restaurant	-73.78383	40.75744	196-50 Northern Blvd	Flushing	11358	NY	['196-50 Northern Blvd', 'Flushing, NY 11358']	$$	4.0	589
87	Koko Wings	-73.96734	40.80096	248 W 106th St	New York	10025	NY	['248 W 106th St', 'New York, NY 10025']	$$	4.0	307
88	Hwaban	-73.99385	40.74024	55 W 19th St	New York	10011	NY	['55 W 19th St', 'New York, NY 10011']		4.5	112
89	Bliss Bowl	-74.010995	40.715135	275 Greenwich St	New York	10007	NY	['275 Greenwich St', 'New York, NY 10007']	$$	3.0	49
90	Gossip House	-73.8175190780554	40.765195445126	147-46 Northern Blvd	Flushing	11354	NY	['147-46 Northern Blvd', 'Flushing, NY 11354']	$$	5.0	126
91	Yupdduk Flushing	-73.8082498239232	40.7637210499282	157-22 Northern Blvd	Flushing	11354	NY	['157-22 Northern Blvd', 'Flushing, NY 11354']	$$	4.0	283
92	Hae Woon Dae	-73.889588	40.745693	7532 Broadway	Elmhurst	11373	NY	['7532 Broadway', 'Elmhurst, NY 11373']	$$	3.5	163
93	New Wonjo Restaurant	-73.98665	40.74788	23 W 32nd St	New York	10001	NY	['23 W 32nd St', 'New York, NY 10001']	$$	3.5	1312
94	Hanbat Restaurant	-73.9863	40.75015	53 W 35th St	New York	10001	NY	['53 W 35th St', 'New York, NY 10001']	$$	3.5	488
95	Purple Rice Korean Kitchen	-73.99466	40.74964	263 W 30th St	New York	10001	NY	['263 W 30th St', 'New York, NY 10001']	$$	4.0	184
96	E-Mo	-73.9861907958984	40.7471961975098	2 W 32nd St	New York	10001	NY	['2 W 32nd St', 'New York, NY 10001']	$	4.0	369
97	Takashi	-74.0065048	40.7313524	456 Hudson St	New York	10014	NY	['456 Hudson St', 'New York, NY 10014']	$$$	4.0	976
98	Atoboy	-73.98456	40.74364	43 E 28th St	New York	10016	NY	['43 E 28th St', 'New York, NY 10016']	$$$	4.5	340
99	Cote	-73.991314	40.741192	16 W 22nd St	New York	10010	NY	['16 W 22nd St', 'New York, NY 10010']	$$$	4.0	796
100	Gogi Grill - Chelsea	-73.99556	40.73959	599 6th Ave	New York	10011	NY	['599 6th Ave', 'New York, NY 10011']	$$	4.0	80
101	Kravings	-74.3464463	40.5353236	1199 Amboy Ave	Edison	08837	NJ	['1199 Amboy Ave', 'Edison, NJ 08837']		5.0	6
102	White Tiger	-73.96785	40.67947	601 Vanderbilt Ave	Brooklyn	11238	NY	['601 Vanderbilt Ave', 'Brooklyn, NY 11238']	$$	4.0	161
103	Chung Sol Bat	-74.3731826	40.5149433	558 Old Post Rd	Edison	08817	NJ	['558 Old Post Rd', 'Edison, NJ 08817']	$$	4.0	346
104	Azumma	-74.00102	40.71897	265 Canal St	New York	10013	NY	['265 Canal St', 'New York, NY 10013']		4.0	15
105	Gomi Korean Wine Bar	-73.9813	40.72886	186 Ave A	New York	10009	NY	['186 Ave A', 'New York, NY 10009']	$$	4.5	126
106	The Coop	-73.8324284232789	40.7594250263413	133-42 39th Ave	Flushing	11354	NY	['133-42 39th Ave', 'Ste 103', 'Flushing, NY 11354']	$$	4.0	828
107	Osamil	-73.9864	40.74697	5 West 31st St	New York	10001	NY	['5 West 31st St', 'New York, NY 10001']	$$	4.0	397
108	Chung Ki Wa Restaurant	-73.891639	40.746494	4006 74th St	Jackson Heights	11373	NY	['4006 74th St', 'Jackson Heights, NY 11373']	$$	3.5	184
109	Turntable Chicken Jazz	-73.98649	40.74828	20 W 33rd St	New York	10001	NY	['20 W 33rd St', 'New York, NY 10001']	$$	4.0	1982
110	Gentle Perch	-73.942587	40.705106	112 Graham Ave	Brooklyn	11206	NY	['112 Graham Ave', 'Brooklyn, NY 11206']		4.0	54
111	O2 BBQ	-74.000752	40.790165	7000 Kennedy Blvd E	Guttenberg	07093	NJ	['7000 Kennedy Blvd E', 'Guttenberg, NJ 07093']	$$	4.0	110
112	Gammeeok	-73.986114	40.747653	9 W 32nd St	New York	10001	NY	['9 W 32nd St', 'Fl 2', 'New York, NY 10001']	$$	3.5	407
113	Hanjan	-73.9905130318771	40.7441830642509	36 W 26th St	New York	10010	NY	['36 W 26th St', 'New York, NY 10010']	$$$	4.0	416
114	Soogil	-73.98838	40.72551	108 E 4th St	New York	10003	NY	['108 E 4th St', 'New York, NY 10003']	$$$	4.0	100
115	Belly	-73.9595309	40.7139161	219 Grand St	Brooklyn	11211	NY	['219 Grand St', 'Brooklyn, NY 11211']	$$	3.5	5
116	Dons Bogam BBQ & Wine Bar	-73.98437	40.74678	17 E 32nd St	New York	10016	NY	['17 E 32nd St', 'New York, NY 10016']	$$$	4.0	986
117	Hangawi	-73.984662	40.746737	12 E 32nd St	New York	10016	NY	['12 E 32nd St', 'New York, NY 10016']	$$$	4.0	1137
118	Cafe At Your Mother-in-Law	-73.96325	40.57748	3071 Brighton 4th St	Brooklyn	11235	NY	['3071 Brighton 4th St', 'Brooklyn, NY 11235']	$	4.0	172
119	New York Kimchi	-73.9792332050324	40.7577797722264	16 W 48th St	New York	10036	NY	['16 W 48th St', 'New York, NY 10036']	$$	3.5	283
120	Kimchee Market	-73.95195	40.73063	191 Greenpoint Ave	Greenpoint	11222	NY	['191 Greenpoint Ave', 'Greenpoint, NY 11222']	$	4.0	45
121	KPOT Korean BBQ & Hot Pot	-74.0529	40.71834	414 Grand St	Jersey City	07302	NJ	['414 Grand St', 'Jersey City, NJ 07302']	$$	3.5	75
122	We Rub You	-73.9690617	40.697886	141 Flushing Ave Bldg 77	Brooklyn	11205	NY	['141 Flushing Ave Bldg 77', 'Ste 106', 'Brooklyn Flea - Smorgasburg', 'Brooklyn, NY 11205']	$$$	5.0	4
123	Bowllin'	-73.99515	40.73063	27 Waverly Pl	New York	10003	NY	['27 Waverly Pl', 'New York, NY 10003']	$$	3.5	105
124	Bunsmith	-73.9572525024414	40.6718444824219	789 Franklin Ave	Brooklyn	11238	NY	['789 Franklin Ave', 'Brooklyn, NY 11238']	$$	4.0	246
125	Gopchang Story BBQ	-73.98583	40.74701	312 5th Ave	New York	10001	NY	['312 5th Ave', 'Fl 2', 'New York, NY 10001']	$$	4.0	337
126	Geo Si Gi	-73.81202	40.76458	152-28 Northern Blvd	Flushing	11354	NY	['152-28 Northern Blvd', 'Flushing, NY 11354']	$$	4.0	233
127	Pelicana Chicken	-73.9176370203495	40.7425336539745	47-08 Greenpoint Ave	Sunnyside	11104	NY	['47-08 Greenpoint Ave', 'Sunnyside, NY 11104']	$$	4.0	361
128	Kun Sohn Korean Noodle House	-73.8108625	40.7658289	35-04 154th St	Flushing	11354	NY	['35-04 154th St', 'Flushing, NY 11354']	$$	4.5	79
129	Sodam	-73.808391	40.763658	156-50 Northern Blvd	Flushing	11354	NY	['156-50 Northern Blvd', 'Flushing, NY 11354']	$$	4.0	168
130	Hometown Dumpling	-73.94767	40.77549	1619 York Ave	New York	10028	NY	['1619 York Ave', 'New York, NY 10028']	$$	4.5	40
131	Bonchon - Willoughby St	-73.985846	40.692088	68 Willoughby Street	Brooklyn	11201	NY	['68 Willoughby Street', 'Brooklyn, NY 11201']	$$	3.5	94
132	KoFoo	-73.9919281	40.7428284	67 W 23rd St	New York	10010	NY	['67 W 23rd St', 'New York, NY 10010']	$	3.5	91
133	Kāwi	-74.0003704647111	40.7538408290715	20 Hudson Yards	New York	10001	NY	['20 Hudson Yards', 'New York, NY 10001']	$$$	4.0	146
134	Bonchon - Flushing Northern	-73.791834629644	40.7577298851643	189-08 Northern Blvd	Queens	11358	NY	['189-08 Northern Blvd', 'Queens, NY 11358']		3.5	3
135	Busan Gukbap	-73.9621156	40.8639436	2444 Lemoine Ave	Fort Lee	07024	NJ	['2444 Lemoine Ave', 'Fort Lee, NJ 07024']	$$	4.5	171
136	The Cast Iron Pot 3	-73.8076273	40.763328	157-26 Northern Blvd	Flushing	11354	NY	['157-26 Northern Blvd', 'Flushing, NY 11354']	$$$	4.5	151
137	MOKYO	-73.983878	40.727223	109 St Marks Pl	New York	10009	NY	['109 St Marks Pl', 'New York, NY 10009']		5.0	2
138	Wing Club	-74.0046958	40.7408498	353 W 14th St	New York	10014	NY	['353 W 14th St', 'New York, NY 10014']		4.0	28
139	Reception Bar	-73.9913564	40.7163598	45 Orchard St	New York	10002	NY	['45 Orchard St', 'New York, NY 10002']		4.0	28
140	Parksanbal Babs	-73.804031	40.761093	41-10 162nd St	Flushing	11358	NY	['41-10 162nd St', 'Flushing, NY 11358']	$$	4.5	136
141	Cafe Lily	-73.98356	40.61002	42 Avenue O	Brooklyn	11204	NY	['42 Avenue O', 'Brooklyn, NY 11204']	$$	4.5	48
